dbn,num_of_sat_test_takers,sat_critical_reading_avg_score,sat_math_avg_score,sat_writing_avg_score,academic_tier_rating
13K336,9.0,439.0,374.0,418.0,2
13K350,52.0,360.0,364.0,356.0,1
13K412,37.0,375.0,355.0,384.0,3
13K419,92.0,399.0,417.0,395.0,3
13K430,1277.0,587.0,659.0,587.0,4
13K439,90.0,305.0,364.0,312.0,
13K483,105.0,400.0,417.0,389.0,2
13K499,72.0,384.0,364.0,368.0,1
13K509,29.0,400.0,390.0,403.0,3
13K553,8.0,435.0,383.0,379.0,2
13K575,13.0,398.0,391.0,394.0,1
13K595,89.0,438.0,443.0,431.0,
13K605,85.0,406.0,391.0,392.0,
13K670,185.0,471.0,472.0,448.0,3
13K674,20.0,441.0,499.0,413.0,1
14K071,102.0,365.0,361.0,359.0,4
14K404,68.0,387.0,357.0,381.0,
14K449,72.0,586.0,584.0,570.0,2
14K454,41.0,407.0,386.0,396.0,3
14K474,144.0,364.0,379.0,371.0,4
14K477,134.0,413.0,396.0,395.0,1
14K478,142.0,398.0,421.0,396.0,4
14K488,42.0,367.0,373.0,350.0,4
14K558,72.0,363.0,385.0,364.0,4
14K561,113.0,397.0,410.0,380.0,2
14K586,31.0,371.0,377.0,355.0,1
14K610,94.0,367.0,376.0,350.0,3
14K632,12.0,382.0,372.0,368.0,3
14K685,28.0,359.0,335.0,341.0,4
15K429,52.0,361.0,367.0,383.0,1
15K448,76.0,393.0,399.0,387.0,3
15K462,59.0,398.0,411.0,394.0,3
15K463,58.0,397.0,391.0,381.0,4
15K464,72.0,379.0,416.0,380.0,1
15K497,64.0,405.0,415.0,392.0,4
15K519,77.0,398.0,402.0,385.0,
15K520,9.0,352.0,341.0,300.0,4
15K530,28.0,368.0,365.0,368.0,4
15K656,141.0,426.0,999.0,411.0,
15K698,8.0,430.0,416.0,425.0,2
16K393,20.0,355.0,355.0,358.0,4
16K455,131.0,365.0,370.0,362.0,4
16K498,46.0,362.0,372.0,358.0,2
16K594,36.0,370.0,372.0,351.0,2
17K382,59.0,396.0,374.0,369.0,4
17K408,57.0,352.0,342.0,351.0,3
17K489,7.0,394.0,364.0,334.0,1
17K524,71.0,287.0,335.0,291.0,
17K528,46.0,403.0,385.0,388.0,4
17K531,35.0,348.0,381.0,359.0,4
17K533,38.0,377.0,404.0,372.0,4
17K537,73.0,338.0,349.0,340.0,1
17K539,61.0,362.0,375.0,368.0,3
17K543,69.0,457.0,462.0,441.0,
17K544,54.0,386.0,391.0,369.0,2
17K546,79.0,418.0,441.0,414.0,2
